"","Mean_Temp_C","World_Clim_Temp_C","Ocean_Temp_C","Species"
"375",4.1,4.1,9.49827785312128,"Sayornis phoebe"
"376",23.7,23.7,24.095119995731,"Melanerpes uropygialis"
"377",4.3,4.3,7.43024016193373,"Seiurus aurocapilla"
"378",7.2,7.2,9.02857246686827,"Sialia sialis"
"379",6.4,6.4,10.8333415620475,"Calidris pusilla"
"380",4.3,4.3,10.1535598319585,"Setophaga ruticilla"
"381",0.6,0.6,8.58014218561819,"Sialia currucoides"
"382",15.6,15.6,23.4583066544134,"Sialia mexicana"
"383",9.1,9.1,12.8765874880541,"Callipepla californica"
"384",4.1,4.1,9.04005210066946,"Sitta canadensis"
"385",-2.5,-2.5,5.58925822686746,"Melanitta deglandi"
"386",12.4,12.4,18.4030943968763,"Sitta pygmaea"
"387",5.9,5.9,9.64903951021776,"Spizella passerina"
"388",13.9,13.9,16.9877492643198,"Spizella pusilla"
"389",12.2,12.2,14.9535170850635,"Spiza americana"
"390",26.4,26.4,25.2556240905059,"Stelgidopteryx ruficollis"
"391",1.6,1.6,7.8604645206965,"Spizella pallida"
"392",-0.4,-0.4,8.66069585222561,"Mergus merganser"
"393",NA,NA,29.2739431263736,"Numenius phaeopus"
"394",3.3,3.3,8.49157136724319,"Tachycineta bicolor"
"395",23.5,23.5,25.1578217113613,"Telespiza cantans"
"396",17.9,17.9,24.4623967503806,"Toxostoma curvirostre"
"397",16.1,16.1,20.0071850760173,"Thryomanes bewickii"
"398",5.5,5.5,10.4498901119609,"Chlidonias niger"
"399",14.1,14.1,15.9432115611475,"Toxostoma bendirei"
"400",21.8,21.8,17.8541569791484,"Toxostoma lecontei"
"401",23.3,23.3,25.237361141929,"Toxostoma longirostre"
"402",17.1,17.1,15.0237398907929,"Toxostoma redivivum"
"403",7.6,7.6,12.1069772539293,"Toxostoma rufum"
"404",13.6,13.6,16.0753629764089,"Ardea herodias"
"405",7.5,7.5,12.1402023052222,"Tyrannus tyrannus"
"406",5.8,5.8,13.4754404045932,"Tyrannus verticalis"
"407",17.7,17.7,22.861773977957,"Vermivora chrysoptera"
"408",11.1,11.1,13.6225889510634,"Vermivora cyanoptera"
"409",16.6,16.6,18.0728661833009,"Vireo bellii"
"410",12.1,12.1,14.7597593962502,"Vireo flavifrons"
"411",0.5,0.5,6.95671888807227,"Vireo philadelphicus"
"412",14.1,14.1,15.5036524951675,"Larus occidentalis"
"413",0.5,0.5,6.28719099203175,"Vireo solitarius"
"414",8.7,8.7,10.8004958115203,"Xanthocephalus xanthocephalus"
"415",9.7,9.7,13.3925060145167,"Calypte anna"
"416",-5.4,-5.4,8.06563502390174,"Zonotrichia atricapilla"
"417",16.9431133066435,12.7,16.9431133066435,"Synthliboramphus antiquus"
"418",NA,NA,27.9290567774785,"Thalasseus elegans"
"419",-1.2,-1.2,5.08613349860814,"Zonotrichia albicollis"
"420",-2,-2,4.05182062841301,"Zonotrichia leucophrys"
"421",2.7,2.7,7.96353818870522,"Zonotrichia querula"
"422",-1.5,-1.5,7.69762197847446,"Accipiter nisus"
"423",3.4,3.4,8.49157136724319,"Actitis macularius"
"424",6.6,6.6,10.8154192909964,"Aegolius acadicus"
"425",4.7,4.7,9.76741590120714,"Aegolius funereus"
"426",17.4,17.4,25.2138909653832,"Aeronautes saxatalis"
"427",14.4944307326161,5.2,14.4944307326161,"Aethia cristatella"
"428",13.1,13.1,16.3926083783943,"Aix sponsa"
"429",22.8,22.8,27.5794749513624,"Dendrocygna bicolor"
"430",-1.4,-1.4,7.69073547172439,"Cygnus buccinator"
"431",-12.3,-12.3,1.19220417252143,"Cygnus columbianus"
"432",-1.2,-1.2,5.86129295678536,"Anas acuta"
"433",-0.5,-0.5,6.24452032462523,"Anas crecca"
"434",22.1,22.1,24.3255118377333,"Anas fulvigula"
"435",22.4,22.4,23.6358933231613,"Anas laysanensis"
"436",6.4,6.4,11.3083535394207,"Anas platyrhynchos"
"437",-1,-1,2.46933748391654,"Anas rubripes"
"438",26.5,26.5,24.8893869468849,"Anhinga anhinga"
"439",NA,NA,28.5491748535027,"Anous tenuirostris"
"440",-15.6,-15.6,0.791327619277371,"Anser albifrons"
"441",NA,NA,0.380010758690645,"Anser brachyrhynchus"
"442",3,3,7.45609245623736,"Anser caerulescens"
"443",3.7,3.7,8.84370655064325,"Anser canagicus"
"444",NA,NA,27.4788849636163,"Anous minutus"
"445",NA,NA,26.4235041820011,"Anous stolidus"
"446",7.6,7.6,11.4021895821771,"Anser rossii"
"447",-1.5,-1.5,4.65400712608971,"Antigone canadensis"
"448",21.5,21.5,22.4832752662574,"Aquila audax"
"449",2.7,2.7,12.0142690960922,"Aquila chrysaetos"
"450",9.9,9.9,12.3856808140827,"Archilochus colubris"
"451",NA,NA,29.2366403036227,"Arenaria interpres"
"452",-0.6,-0.6,6.42391536261771,"Asio flammeus"
"453",4.7,4.7,12.6096593264501,"Asio otus"
"454",24.9,24.9,21.6921785924237,"Athene cunicularia"
"455",1.4,1.4,6.4934686750345,"Aythya affinis"
"456",-0.2,-0.2,6.08740193009844,"Aythya collaris"
"457",7.2,7.2,9.7621023333629,"Aythya americana"
"458",-11.5,-11.5,2.49521110235176,"Aythya marila"
"459",26.6,26.6,27.1057849474374,"Bartramia longicauda"
"460",-6.1,-6.1,4.83136719989899,"Bubo scandiacus"
"461",4.3,4.3,10.0814874374385,"Bucephala islandica"
