"","Group","Species","dry_mass_g","Temp_C","Mortality_yr","Ref"
"184","Mammal","Eumetopias jubatus",150000,38,0.084,128
"185","Mammal","Felis nigripes",325,38,0.213,128
"186","Mammal","Felis silvestris",1063,38,0.169,128
"187","Mammal","Felis silvestris",1063,38,0.141,128
"188","Mammal","Felis silvestris",1162,38,0.169,128
"189","Mammal","Felis silvestris",1162,38,0.141,128
"190","Mammal","Galea musteloides",120,38,2.381,128
"191","Mammal","Gazella dorcas",5750,38,0.204,128
"192","Mammal","Gazella gazella",5625,38,0.213,128
"193","Mammal","Georychus capensis",45.25,38,0.909,128
"194","Mammal","Gerbillus pyramidum",10.22,38,0.323,128
"195","Mammal","Giraffa camelopardalis",225000,38,0.101,128
"196","Mammal","Giraffa camelopardalis",225000,38,0.097,128
"197","Mammal","Giraffa camelopardalis",225000,38,0.069,128
"198","Mammal","Gorilla gorilla",31060,38,0.053,128
"199","Mammal","Gorilla gorilla",31060,38,0.05,128
"200","Mammal","Gymnobelideus leadbeateri",31.75,38,0.345,128
"201","Mammal","Halichoerus grypus",62500,38,0.081,128
"202","Mammal","Halichoerus grypus",62500,38,0.063,128
"203","Mammal","Halichoerus grypus",62500,38,0.055,128
"204","Mammal","Halichoerus grypus",62500,38,0.055,128
"205","Mammal","Hemibelideus lemuroides",238.1,38,0.667,128
"206","Mammal","Hemicentetes semispinosus",28,38,1.02,128
"207","Mammal","Hemitragus jemlahicus",22500,38,0.256,128
"208","Mammal","Herpestes ichneumon",712.5,38,0.213,128
"209","Mammal","Heterohyrax brucei",656.3,38,0.182,128
"210","Mammal","Hippopotamus amphibius",3e+05,38,0.03,3
"211","Mammal","Hippopotamus amphibius",354400,38,0.056,128
"212","Mammal","Hippopotamus amphibius",354400,38,0.05,128
"213","Mammal","Hippopotamus amphibius",354400,38,0.046,128
"214","Mammal","Hydropotes inermis",3375,38,0.213,128
"215","Mammal","Hydrurga leptonyx",90000,38,0.11,128
"216","Mammal","Hydrurga leptonyx",90000,38,0.097,128
"217","Mammal","Hydrurga leptonyx",90000,38,0.097,128
